timestamp,gps(latitude),gps(longitude),gps(altitude),speed(m/s)
1633438116,4.880477875,-1.759218958,7.864068517,1.768175457
1633438116,4.880508115,-1.759230486,8.126556692,2.770243291
1633438116,4.880508115,-1.759230486,8.126556692,2.770243291
1633438116,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880508115,-1.759230486,8.126556692,2.770243291
1633438117,4.880547866,-1.759230171,8.148220011,3.517311366
1633438117,4.880547866,-1.759230171,8.148220011,3.517311366
1633438117,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880547866,-1.759230171,8.148220011,3.517311366
1633438118,4.880592908,-1.759214596,9.206803411,3.93480423
1633438118,4.880592908,-1.759214596,9.206803411,3.93480423
1633438118,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880592908,-1.759214596,9.206803411,3.93480423
1633438119,4.880659331,-1.759203418,9.295708259,5.401373881
1633438119,4.880659331,-1.759203418,9.295708259,5.401373881
1633438119,4.880659331,-1.759203418,9.295708259,5.401373881
1633438120,4.880659331,-1.759203418,9.295708259,5.401373881
1633438120,4.880659331,-1.759203418,9.295708259,5.401373881
1633438120,4.880659331,-1.759203418,9.295708259,5.401373881
